ID,ApplicationDate_ds1,AnnualIncome,EmploymentStatus,Experience_ds1,LoanDuration,NumberOfDependents,MonthlyDebtPayments,NumberOfOpenCreditLines,BankruptcyHistory,PreviousLoanDefaults,LengthOfCreditHistory,CheckingAccountBalance,TotalLiabilities,NetWorth,LoanApproved,ApplicationDate_ds2,Age,CreditScore,EducationLevel,Experience_ds2,LoanAmount,MaritalStatus,HomeOwnershipStatus,CreditCardUtilizationRate,NumberOfCreditInquiries,LoanPurpose,PaymentHistory,SavingsAccountBalance,TotalAssets,JobTenure,InterestRate,RiskScore
A033,02-02-2018,61099,Employed,19,84,0,380,1,0,0,19,1795,23540,46283,0,02-02-2018,39,559,Bachelor,19.0,10094,Married,Mortgage,1.28,0,Auto,21,2987,69823,4,26.1,51
A034,03-02-2018,15000,Employed,4,120,2,721,2,0,0,18,3835,13680,290269,0,03-02-2018,27,535,High School,4.0,11318,Single,Mortgage,5.82,3,Home,15,4172,303949,1,34.35,53
A035,04-02-2018,34738,Employed,25,72,2,388,3,0,0,4,2757,10972,238326,0,04-02-2018,49,520,Associate,25.0,10166,Single,Mortgage,5.66,3,Home,27,1767,249298,2,27.39,55
A036,05-02-2018,85889,Employed,3,72,2,870,4,0,0,10,1110,5554,13345,0,05-02-2018,25,571,Bachelor,3.0,24186,Married,Rent,33.1,0,Education,31,14921,18899,4,27.96,49
A037,06-02-2018,78701,Employed,18,60,1,482,6,0,0,19,1585,30154,140566,1,06-02-2018,42,552,Associate,18.0,18326,Married,Rent,1.88,1,Home,25,463,170720,7,21.89,36
A038,07-02-2018,24914,Employed,0,36,4,327,1,0,0,28,199,8146,41853,1,07-02-2018,18,604,Master,0.0,8015,Married,Mortgage,3.76,4,Auto,17,2612,49999,7,15.28,45
A039,08-02-2018,57231,Unemployed,0,48,4,370,3,0,0,21,242,73682,140547,0,08-02-2018,24,508,Associate,0.0,35876,Married,Rent,572.0,0,Auto,20,7737,214229,8,23.04,50
A040,09-02-2018,163303,Self-Employed,23,72,2,337,3,0,0,1,309,17900,97422,1,09-02-2018,42,655,Bachelor,23.0,12850,Single,Other,35.7,0,Debt Consolidation,19,3012,115322,8,18.95,37
A041,10-02-2018,38453,Unemployed,26,48,0,560,0,0,0,20,1539,3481,42871,0,10-02-2018,48,595,High School,26.0,30517,Divorced,Own,3.82,0,Home,22,5165,46352,6,22.62,54
A042,11-02-2018,99920,Self-Employed,20,12,3,298,3,0,0,11,288,23569,4209,1,11-02-2018,42,582,Bachelor,20.0,23363,Single,Other,615.0,2,Debt Consolidation,20,991,27778,10,17.54,44
A043,12-02-2018,57860,Employed,20,96,4,159,3,0,0,1,427,25653,437436,0,12-02-2018,38,591,High School,20.0,25576,Married,Rent,14.4,0,Auto,27,2059,463089,8,28.76,47
A044,13-02-2018,30890,Employed,16,24,2,289,3,0,0,6,249,28334,14676,0,13-02-2018,36,590,High School,16.0,10176,Divorced,Own,2.13,1,Education,23,11162,43010,7,17.65,53
A045,14-02-2018,15561,Employed,1,36,2,346,6,0,0,13,1463,5913,11052,0,14-02-2018,22,500,High School,1.0,20169,Single,Rent,10.4,0,Debt Consolidation,25,1929,16965,4,24.23,55
A046,15-02-2018,105957,Employed,7,72,0,399,0,0,0,16,208,69541,95758,0,15-02-2018,31,530,High School,7.0,53987,Single,Other,46.4,0,Auto,31,4218,165299,3,32.67,54
A047,16-02-2018,82887,Employed,13,84,2,471,2,0,0,8,1246,117394,4958,0,16-02-2018,34,545,High School,13.0,20996,Divorced,Other,37.4,0,Other,19,16502,17748,2,27.95,50
A048,17-02-2018,53555,Employed,31,60,1,221,0,0,0,20,1607,27582,2753,0,17-02-2018,52,631,Associate,31.0,29418,Divorced,Own,2.57,1,Education,28,9902,12300,4,21.76,47
A049,18-02-2018,105639,Employed,20,108,0,387,1,0,0,21,5476,22300,142935,0,18-02-2018,44,627,High School,20.0,20409,Widowed,Rent,28.2,4,Home,22,3379,165235,5,26.37,46
A050,19-02-2018,58342,Employed,0,24,3,592,3,0,0,7,230,15562,9558,0,19-02-2018,18,519,High School,0.0,10077,Single,Mortgage,1.59,0,Debt Consolidation,20,5076,25120,8,26.06,50
A051,20-02-2018,121939,Employed,25,48,0,220,2,0,0,12,4000,2457,185710,1,20-02-2018,43,653,Doctorate,25.0,41215,Divorced,Mortgage,5.32,1,Other,30,1365,188167,8,18.46,32
A052,21-02-2018,16054,Employed,13,36,1,465,1,0,0,21,665,11870,39270,0,21-02-2018,35,526,Associate,13.0,20612,Married,Own,14.4,2,Education,25,4127,51140,6,23.16,53
A053,22-02-2018,36057,Employed,11,36,3,384,4,0,0,12,438,56982,1500,0,22-02-2018,31,592,Associate,11.0,29501,Married,Other,231.0,0,Home,18,2220,19637,4,21.42,51
A054,23-02-2018,124086,Employed,27,24,3,713,6,0,0,24,1704,21593,10479,1,23-02-2018,47,631,High School,27.0,36798,Widowed,Mortgage,22.4,1,Auto,27,3281,32072,6,16.76,39
A055,24-02-2018,272693,Employed,28,84,0,278,2,0,0,13,1835,5443,88895,1,24-02-2018,52,586,Bachelor,28.0,19717,Married,Rent,3.72,2,Auto,19,801,94338,8,21.81,38
A056,25-02-2018,48757,Employed,27,84,3,817,1,0,0,19,266,97462,3120,0,25-02-2018,51,615,Bachelor,27.0,16173,Divorced,Mortgage,21.0,0,Debt Consolidation,28,21739,39354,2,22.13,XX
A057,26-02-2018,31683,Employed,5,24,2,183,4,0,0,12,2581,123883,154938,0,26-02-2018,29,498,Associate,5.0,10566,Married,Other,44.3,2,Debt Consolidation,22,30896,278821,5,20.94,48
A058,27-02-2018,69003,Self-Employed,11,96,4,458,6,0,0,11,1153,23994,13502,1,27-02-2018,36,499,Associate,11.0,5376,Single,Mortgage,3.67,2,Auto,28,983,37496,3,24.84,42
A059,28-02-2018,72408,Employed,18,48,0,803,1,1,0,29,305,33442,5786,0,28-02-2018,43,616,Bachelor,18.0,23181,Married,Rent,23.4,2,Debt Consolidation,22,3815,22524,4,25.22,63
A060,01-03-2018,105087,Employed,33,108,1,772,5,0,1,24,2121,59261,142052,0,01-03-2018,51,653,Master,33.0,48331,Single,Mortgage,11.6,1,Auto,22,21204,201313,4,27.37,44
A061,02-03-2018,15000,Employed,11,96,1,468,1,0,0,22,2085,11163,223211,0,02-03-2018,34,607,Master,11.0,26412,Married,Own,3.12,2,Home,18,2232,234374,6,27.64,48
A062,03-03-2018,38513,Self-Employed,16,48,2,373,2,0,0,29,340,28653,16183,0,03-03-2018,37,600,High School,16.0,21225,Divorced,Rent,5.18,0,Education,22,1458,44836,4,23.11,XX
A063,04-03-2018,77555,Employed,5,36,0,499,6,0,0,22,691,9580,29447,1,04-03-2018,26,527,Bachelor,5.0,22854,Married,Rent,954.0,1,Education,19,8710,39027,5,19.99,39
A064,05-03-2018,15000,Employed,1,48,0,528,6,0,0,3,1111,274582,1077,0,05-03-2018,25,576,High School,1.0,18177,Single,Mortgage,2.73,1,Home,25,5689,99036,3,21.98,57
A065,06-03-2018,24973,Employed,30,48,3,336,1,0,0,12,1547,30121,14823,0,06-03-2018,49,611,Bachelor,30.0,17466,Married,Own,2.8,0,Auto,23,3167,44944,9,22.14,55
A066,07-03-2018,18248,Employed,37,24,0,733,2,0,0,20,548,11483,192648,0,07-03-2018,56,574,Associate,37.0,16443,Divorced,Own,2.83,1,Home,23,2682,204131,2,17.36,48
A067,08-03-2018,67367,Self-Employed,15,48,1,317,4,0,0,24,5430,16012,99087,1,08-03-2018,39,615,Associate,,26889,Married,Mortgage,796.0,0,Debt Consolidation,29,8241,115099,4,17.15,42
A068,09-03-2018,32418,Employed,29,12,2,447,1,0,0,3,533,12696,313319,0,09-03-2018,52,647,Bachelor,29.0,32208,Married,Rent,4.13,0,Auto,26,2926,326015,3,15.07,50
A069,10-03-2018,26879,Employed,21,60,1,562,3,0,0,29,3740,23485,71090,0,10-03-2018,44,649,Bachelor,21.0,20313,Married,Rent,4.33,2,Home,22,4029,94575,5,19.89,50
A070,11-03-2018,54128,Employed,11,36,0,322,2,0,0,7,388,4196,87804,1,11-03-2018,32,620,Bachelor,11.0,20676,Single,Mortgage,2.63,1,Home,32,4943,92000,1,17.77,36
A071,12-03-2018,19924,Employed,20,48,0,495,3,0,0,19,1679,8051,14660,0,12-03-2018,44,535,High School,20.0,21767,Married,Mortgage,24.5,0,Education,32,21032,22711,8,29.91,56
A072,13-03-2018,90788,Employed,34,36,2,153,3,0,0,21,1139,32218,5911,1,13-03-2018,58,672,Bachelor,34.0,18243,Married,Mortgage,2.97,0,Debt Consolidation,20,1980,13542,6,14.04,34
A073,14-03-2018,190445,Employed,16,36,3,304,4,0,0,8,956,38230,115773,1,14-03-2018,39,619,Master,16.0,28894,Single,Mortgage,2.63,1,Other,24,2857,154003,6,21.41,33
A074,15-03-2018,35372,Employed,38,24,1,424,3,0,0,26,3235,4752,119179,0,15-03-2018,58,612,High School,38.0,25313,Married,Mortgage,291.0,0,Education,20,2811,123931,3,19.69,50
A075,16-03-2018,15000,Employed,0,48,1,537,10,0,1,26,3286,71478,82198,0,16-03-2018,18,570,Associate,0.0,50226,Married,Mortgage,20.8,0,Debt Consolidation,16,3575,153676,3,22.83,58
A076,17-03-2018,40829,Employed,25,36,1,785,3,0,0,14,1111,7348,34774,0,17-03-2018,49,617,Bachelor,25.0,25478,Married,Mortgage,7.32,0,Auto,11,2267,42122,0,17.93,49
A077,18-03-2018,58655,Employed,16,96,4,206,4,0,0,13,1731,41991,22423,0,18-03-2018,41,523,Associate,16.0,26493,Single,Mortgage,4.15,0,Other,24,2003,64414,1,33.44,51
A078,19-03-2018,68801,Employed,14,36,0,1044,1,0,1,16,630,16938,429421,0,19-03-2018,36,531,Bachelor,14.0,18652,Single,Rent,16.5,2,Auto,30,1810,446359,2,28.57,53
A079,20-03-2018,92731,Employed,19,48,1,396,4,0,0,3,1004,14838,7629,0,20-03-2018,41,619,Bachelor,19.0,31116,Single,Rent,12.3,1,Home,20,3025,11209,3,21.54,50
A080,21-03-2018,40050,Self-Employed,0,48,1,406,4,0,1,2,726,29714,7672,0,21-03-2018,18,545,Doctorate,0.0,112253,Married,Rent,3.06,1,Home,33,1506,18390,4,35.84,64
A081,22-03-2018,40784,Employed,14,72,0,370,3,0,0,27,1394,25549,172083,0,22-03-2018,37,618,Master,14.0,41465,Married,Own,17.4,0,Home,26,21978,197632,4,29.27,45
A082,23-03-2018,15000,Employed,23,48,0,378,3,0,0,21,2246,22556,474038,0,23-03-2018,44,588,High School,23.0,26563,Married,Mortgage,30.8,3,Home,24,1357,496594,6,20.98,48
A083,24-03-2018,86699,Employed,39,60,0,413,6,0,0,24,8480,70691,8130,1,24-03-2018,57,615,Associate,39.0,7469,Single,Rent,11.3,2,Home,18,1872,36531,6,19.88,36
A084,25-03-2018,17676,Employed,8,48,4,226,4,0,0,21,1994,22271,48674,0,25-03-2018,33,540,Associate,8.0,17801,Married,Own,15.3,1,Debt Consolidation,38,8380,70945,5,24.38,55
A085,26-03-2018,42752,Employed,4,36,2,363,3,0,0,2,1404,26438,146382,0,26-03-2018,30,517,High School,4.0,14379,Married,Rent,3.57,0,Auto,18,6094,172820,4,23.96,53
A086,27-03-2018,29096,Employed,12,24,3,685,2,0,0,19,1471,50013,36237,0,27-03-2018,33,570,Associate,12.0,40138,Married,Other,14.1,1,Debt Consolidation,28,1461,86250,4,24.86,53
A087,28-03-2018,60992,Employed,30,48,0,664,0,0,0,17,1723,13350,38852,0,28-03-2018,50,663,Bachelor,30.0,24642,Single,Rent,25.2,0,Home,28,4726,52202,4,21.64,44
A088,29-03-2018,100032,Employed,21,60,0,824,5,1,0,29,302,4301,45588,1,29-03-2018,43,524,Master,21.0,19105,Married,Mortgage,10.6,0,Education,24,9197,49889,6,20.96,49
A089,30-03-2018,35882,Employed,11,48,0,257,3,0,0,11,1162,91262,8266,0,30-03-2018,33,620,Master,11.0,9259,Single,Own,17.0,0,Home,23,3552,61154,3,20.0,47
A090,31-03-2018,32781,Employed,22,60,1,1180,4,0,0,19,2122,4938,294254,0,31-03-2018,46,623,High School,22.0,17468,Married,Other,8.74,0,Debt Consolidation,23,7428,299192,2,23.2,41
A091,01-04-2018,51707,Employed,18,72,3,407,5,0,0,7,1252,24580,2253,0,01-04-2018,41,585,Bachelor,18.0,20069,Married,Rent,59.2,0,Home,25,3815,24114,4,26.82,XX
A092,02-04-2018,31251,Unemployed,30,24,0,357,2,0,1,25,945,37940,3276,0,02-04-2018,51,596,Bachelor,30.0,66582,Single,Rent,5.66,2,Home,21,2313,30153,5,24.74,61
A093,03-04-2018,22359,Employed,11,48,2,216,5,0,0,8,3578,46881,84640,0,03-04-2018,31,524,High School,11.0,26889,Married,Mortgage,22.1,1,Auto,14,24764,131521,4,24.07,57
A094,04-04-2018,152650,Employed,12,48,3,148,3,0,0,25,587,89100,37909,1,04-04-2018,36,610,Associate,12.0,24815,Married,Other,10.3,1,Home,21,4346,127009,6,21.35,38
A095,05-04-2018,15120,Self-Employed,11,84,0,423,5,0,0,26,1245,14697,3825,0,05-04-2018,35,562,Master,11.0,21849,Married,Rent,5.15,1,Debt Consolidation,24,1874,18522,5,24.41,58
A096,06-04-2018,59830,Self-Employed,0,24,2,246,3,0,0,9,329,13537,435808,1,06-04-2018,22,570,Associate,0.0,22734,Single,Rent,432.0,2,Debt Consolidation,29,2511,449345,7,17.46,45
A097,07-04-2018,55308,Employed,22,72,0,362,3,0,0,24,932,7871,93747,1,07-04-2018,43,645,Doctorate,22.0,19539,Single,Other,7.15,0,Debt Consolidation,29,5995,101618,4,16.96,36
A098,08-04-2018,30948,Employed,17,36,0,286,1,0,0,25,291,21318,78660,0,08-04-2018,43,601,Bachelor,17.0,25291,Married,Mortgage,5.09,0,Auto,19,7167,99978,9,22.33,49
A099,09-04-2018,56940,Employed,21,96,0,213,3,0,0,7,634,33321,64448,0,09-04-2018,40,592,Associate,21.0,15752,Married,Mortgage,4.25,0,Debt Consolidation,20,1349,97769,5,26.16,50
A100,10-04-2018,44000,Employed,13,60,3,457,3,0,0,29,2939,29418,301790,0,10-04-2018,37,539,High School,13.0,28714,Married,Rent,41.4,1,Home,10,5872,331208,8,24.41,46
A101,11-04-2018,81554,Employed,4,72,1,519,5,0,0,24,1955,14641,69780,0,11-04-2018,23,509,High School,4.0,35101,Married,Rent,3.57,0,Home,23,3233,84421,5,31.65,49
A102,12-04-2018,26567,Employed,13,60,1,194,1,0,0,14,512,81589,9625,0,12-04-2018,34,612,Bachelor,13.0,17339,Single,Mortgage,8.73,1,Education,17,2738,55729,4,23.21,48
A103,13-04-2018,33569,Employed,9,48,0,212,3,0,0,8,12534,23346,33106,0,13-04-2018,35,596,Bachelor,9.0,37172,Divorced,Mortgage,2.62,0,Home,20,2103,56452,6,22.45,XX
A104,14-04-2018,94238,Employed,6,36,3,203,3,0,0,2,7940,13137,41531,1,14-04-2018,30,608,Bachelor,6.0,15917,Married,Own,16.4,2,Home,23,3382,54668,3,18.76,44
A105,15-04-2018,45145,Employed,17,48,1,879,5,0,0,24,2678,26515,93155,1,15-04-2018,38,587,Bachelor,17.0,11431,Divorced,Mortgage,1.26,0,Education,27,7060,119670,9,19.61,40
A106,16-04-2018,70881,Employed,23,48,0,324,1,0,0,19,1136,21804,1188,0,16-04-2018,44,597,Master,23.0,34590,Divorced,Rent,30.4,1,Home,22,2050,3628,8,21.41,50
A107,17-04-2018,105240,Employed,39,108,3,391,6,1,0,26,2516,28628,33814,0,17-04-2018,62,656,Associate,39.0,13937,Widowed,Mortgage,24.8,2,Home,32,1960,62442,4,22.97,55
A108,18-04-2018,63709,Unemployed,18,48,0,623,2,0,0,18,136,12851,68037,0,18-04-2018,42,517,Bachelor,18.0,22221,Single,Mortgage,2.83,3,Auto,41,3930,80888,3,26.54,57
A109,19-04-2018,31713,Self-Employed,18,48,1,314,2,0,0,6,231,43113,6605,0,19-04-2018,43,487,Bachelor,18.0,38865,Married,Rent,24.9,3,Auto,20,395,49718,3,28.64,64
A110,20-04-2018,29900,Employed,17,72,3,589,3,0,0,4,2353,36682,2585,0,20-04-2018,39,536,High School,17.0,23396,Single,Mortgage,10.3,0,Debt Consolidation,28,470,23801,6,29.94,54
A111,21-04-2018,87673,Employed,0,72,3,725,4,0,1,19,551,5492,66069,1,21-04-2018,18,608,Master,0.0,10667,Single,Mortgage,2.21,0,Auto,23,1134,71561,5,24.0,43
A112,22-04-2018,55454,Self-Employed,16,36,3,1206,5,0,0,13,1098,27329,5939,0,22-04-2018,39,565,Bachelor,16.0,35551,Married,Mortgage,2.4,0,Auto,22,4159,33268,4,25.41,61
A113,23-04-2018,40722,Employed,18,120,2,269,5,0,0,9,398,20184,121086,0,23-04-2018,40,558,High School,18.0,31637,Married,Own,17.2,2,Auto,22,9140,141270,4,30.27,47
A114,24-04-2018,76571,Employed,49,48,1,407,7,0,0,3,3117,5915,72093,0,24-04-2018,69,680,Master,49.0,34173,Married,Rent,15.8,2,Home,20,2220,78008,7,19.11,46
A115,25-04-2018,22901,Employed,14,48,2,288,1,0,0,6,3491,10098,89532,0,25-04-2018,37,525,Master,14.0,18493,Married,Rent,8.59,1,Auto,25,3120,99630,3,25.34,53
A116,26-04-2018,49421,Employed,21,72,3,438,3,0,0,8,1546,40586,9540,0,26-04-2018,43,609,Bachelor,21.0,17161,Married,Other,36.2,4,Debt Consolidation,21,10050,17627,8,25.8,51
A117,27-04-2018,43507,Employed,16,48,3,544,4,1,0,15,5407,34764,6480,0,27-04-2018,39,611,Associate,16.0,31845,Divorced,Rent,3.74,2,Home,32,1192,30751,7,26.56,60
A118,28-04-2018,41402,Employed,4,36,4,419,2,0,0,21,6772,37402,4623,0,28-04-2018,25,572,Doctorate,4.0,25900,Married,Mortgage,11.1,2,Home,29,9920,36312,6,23.77,50
A119,29-04-2018,37405,Employed,30,48,0,442,3,0,1,19,762,29045,4530,0,29-04-2018,53,626,High School,30.0,15770,Married,Mortgage,22.7,0,Debt Consolidation,22,14266,15028,3,20.61,56
A120,30-04-2018,48399,Employed,29,48,0,346,6,0,0,19,1120,16583,75230,0,30-04-2018,49,564,Bachelor,29.0,19629,Single,Rent,2.84,1,Home,18,993,91813,1,26.4,51
A121,01-05-2018,44775,Employed,28,48,4,228,3,0,0,7,1348,64801,8511,0,01-05-2018,49,574,High School,28.0,20270,Divorced,Mortgage,15.3,0,Education,28,3070,31257,5,21.96,51
A122,02-05-2018,125711,Employed,7,48,0,543,3,0,0,20,1592,10411,8014,1,02-05-2018,29,580,Associate,7.0,12133,Widowed,Own,4.56,1,Home,20,16833,18425,5,21.81,40
A123,03-05-2018,15131,Employed,30,48,2,351,1,0,1,5,2915,15145,58703,0,03-05-2018,56,634,Master,30.0,25599,Married,Rent,24.2,1,Home,25,2458,73848,7,22.83,59
A124,04-05-2018,73576,Employed,0,36,2,491,8,0,0,1,600,59651,4647,1,04-05-2018,23,603,Bachelor,0.0,12055,Married,Other,10.5,0,Education,26,1924,50167,5,17.54,41
A125,05-05-2018,50345,Employed,22,48,1,441,2,0,0,1,785,3537,47177,0,05-05-2018,47,602,Bachelor,22.0,18805,Married,Mortgage,4.68,1,Home,24,13605,50714,3,23.24,XX
A126,06-05-2018,56816,Employed,41,12,2,288,4,0,0,27,705,14955,621711,1,06-05-2018,66,669,Associate,41.0,20719,Single,Mortgage,32.0,1,Auto,28,8124,636666,6,13.94,28
A127,07-05-2018,34588,Employed,0,48,0,444,4,0,0,1,256,11153,78693,0,07-05-2018,28,621,Master,0.0,18962,Single,Mortgage,21.5,0,Debt Consolidation,36,8955,89846,3,24.09,XX
A128,08-05-2018,55383,Employed,10,48,3,419,4,0,0,21,1948,6183,7531,1,08-05-2018,33,565,Associate,10.0,9093,Married,Own,3.08,0,Auto,18,6607,13714,2,23.29,40
A129,09-05-2018,65180,Employed,16,72,2,323,1,0,0,26,1662,61849,3079,1,09-05-2018,41,551,High School,16.0,15086,Married,Mortgage,2.62,0,Debt Consolidation,24,562,64928,7,23.26,40
A130,10-05-2018,15000,Employed,8,60,2,248,2,0,0,13,290,5651,21596,0,10-05-2018,33,523,Bachelor,8.0,13879,Married,Rent,25.8,2,Auto,29,12973,27247,2,26.9,56
A131,11-05-2018,149736,Employed,0,48,0,604,1,0,0,9,2256,10999,279531,1,11-05-2018,21,560,Associate,0.0,27917,Married,Own,30.7,0,Auto,27,3003,290530,6,20.82,37
A132,12-05-2018,42717,Employed,14,24,3,326,2,0,0,24,759,10782,37949,0,12-05-2018,40,585,High School,14.0,41561,Divorced,Other,38.0,1,Home,21,489,48731,3,21.4,53
A133,13-05-2018,66417,Employed,5,48,3,408,3,0,0,17,1060,24837,87273,1,13-05-2018,27,590,Master,5.0,9493,Married,Mortgage,644.0,1,Home,27,2012,112110,9,19.19,40
