ID,ApplicationDate,AnnualIncome,EmploymentStatus,LoanDuration,NumberOfDependents,MonthlyDebtPayments,NumberOfOpenCreditLines,BankruptcyHistory,PreviousLoanDefaults,LengthOfCreditHistory,CheckingAccountBalance,TotalLiabilities,NetWorth,LoanApproved,Age,CreditScore,EducationLevel,LoanAmount,MaritalStatus,HomeOwnershipStatus,CreditCardUtilizationRate,NumberOfCreditInquiries,LoanPurpose,PaymentHistory,SavingsAccountBalance,TotalAssets,JobTenure,InterestRate,RiskScore,Experience,MonthlyIncome,MonthlyLoanPayment,TotalDebtToIncomeRatio
A070,2018-03-11,54128,Employed,36,0,322,2,0,0,7,388,4196,87804,1,32,620,Bachelor,20676,Single,Mortgage,2.63,1,Home,32,4943,92000,1,17.77,36.0,11.0,4510.67,745.1,23.66
A071,2018-03-12,19924,Employed,48,0,495,3,0,0,19,1679,8051,14660,0,44,535,High School,21767,Married,Mortgage,24.5,0,Education,32,21032,22711,8,29.91,56.0,20.0,1660.33,782.6,76.95
A072,2018-03-13,90788,Employed,36,2,153,3,0,0,21,1139,32218,5911,1,58,672,Bachelor,18243,Married,Mortgage,2.97,0,Debt Consolidation,20,1980,13542,6,14.04,34.0,34.0,7565.67,623.86,10.27
A073,2018-03-14,190445,Employed,36,3,304,4,0,0,8,956,38230,115773,1,39,619,Master,28894,Single,Mortgage,2.63,1,Other,24,2857,154003,6,21.41,33.0,16.0,15870.42,1094.68,8.81
A074,2018-03-15,35372,Employed,24,1,424,3,0,0,26,3235,4752,119179,0,58,612,High School,25313,Married,Mortgage,291.0,0,Education,20,2811,123931,3,19.69,50.0,38.0,2947.67,1284.5,57.96
A075,2018-03-16,15000,Employed,48,1,537,10,0,1,26,3286,71478,82198,0,18,570,Associate,50226,Married,Mortgage,20.8,0,Debt Consolidation,16,3575,153676,3,22.83,58.0,0.0,1250.0,1605.14,171.37
A076,2018-03-17,40829,Employed,36,1,785,3,0,0,14,1111,7348,34774,0,49,617,Bachelor,25478,Married,Mortgage,7.32,0,Auto,11,2267,42122,0,17.93,49.0,25.0,3402.42,920.2,50.12
A077,2018-03-18,58655,Employed,96,4,206,4,0,0,13,1731,41991,22423,0,41,523,Associate,26493,Single,Mortgage,4.15,0,Other,24,2003,64414,1,33.44,51.0,16.0,4887.92,795.09,20.48
A078,2018-03-19,68801,Employed,36,0,1044,1,0,1,16,630,16938,429421,0,36,531,Bachelor,18652,Single,Rent,16.5,2,Auto,30,1810,446359,2,28.57,53.0,14.0,5733.42,777.27,31.77
A079,2018-03-20,92731,Employed,48,1,396,4,0,0,3,1004,14838,7629,0,41,619,Bachelor,31116,Single,Rent,12.3,1,Home,20,3025,11209,3,21.54,50.0,19.0,7727.58,972.59,17.71
A080,2018-03-21,40050,Self-Employed,48,1,406,4,0,1,2,726,29714,7672,0,18,545,Doctorate,112253,Married,Rent,3.06,1,Home,33,1506,18390,4,35.84,64.0,0.0,3337.5,4431.8,144.95
A081,2018-03-22,40784,Employed,72,0,370,3,0,0,27,1394,25549,172083,0,37,618,Master,41465,Married,Own,17.4,0,Home,26,21978,197632,4,29.27,45.0,14.0,3398.67,1227.99,47.02
A082,2018-03-23,15000,Employed,48,0,378,3,0,0,21,2246,22556,474038,0,44,588,High School,26563,Married,Mortgage,30.8,3,Home,24,1357,496594,6,20.98,48.0,23.0,1250.0,822.26,96.02
A083,2018-03-24,86699,Employed,60,0,413,6,0,0,24,8480,70691,8130,1,57,615,Associate,7469,Single,Rent,11.3,2,Home,18,1872,36531,6,19.88,36.0,39.0,7224.92,197.38,8.45
A084,2018-03-25,17676,Employed,48,4,226,4,0,0,21,1994,22271,48674,0,33,540,Associate,17801,Married,Own,15.3,1,Debt Consolidation,38,8380,70945,5,24.38,55.0,8.0,1473.0,584.09,55.0
A085,2018-03-26,42752,Employed,36,2,363,3,0,0,2,1404,26438,146382,0,30,517,High School,14379,Married,Rent,3.57,0,Auto,18,6094,172820,4,23.96,53.0,4.0,3562.67,563.83,26.01
A086,2018-03-27,29096,Employed,24,3,685,2,0,0,19,1471,50013,36237,0,33,570,Associate,40138,Married,Other,14.1,1,Debt Consolidation,28,1461,86250,4,24.86,53.0,12.0,2424.67,2139.41,116.49
A087,2018-03-28,60992,Employed,48,0,664,0,0,0,17,1723,13350,38852,0,50,663,Bachelor,24642,Single,Rent,25.2,0,Home,28,4726,52202,4,21.64,44.0,30.0,5082.67,771.56,28.24
A088,2018-03-29,100032,Employed,60,0,824,5,1,0,29,302,4301,45588,1,43,524,Master,19105,Married,Mortgage,10.6,0,Education,24,9197,49889,6,20.96,49.0,21.0,8336.0,516.42,16.08
A089,2018-03-30,35882,Employed,48,0,257,3,0,0,11,1162,91262,8266,0,33,620,Master,9259,Single,Own,17.0,0,Home,23,3552,61154,3,20.0,47.0,11.0,2990.17,281.75,18.02
A090,2018-03-31,32781,Employed,60,1,1180,4,0,0,19,2122,4938,294254,0,46,623,High School,17468,Married,Other,8.74,0,Debt Consolidation,23,7428,299192,2,23.2,41.0,22.0,2731.75,494.44,61.3
A091,2018-04-01,51707,Employed,72,3,407,5,0,0,7,1252,24580,2253,0,41,585,Bachelor,20069,Married,Rent,59.2,0,Home,25,3815,24114,4,26.82,51.0,18.0,4308.92,563.23,22.52
A092,2018-04-02,31251,Unemployed,24,0,357,2,0,1,25,945,37940,3276,0,51,596,Bachelor,66582,Single,Rent,5.66,2,Home,21,2313,30153,5,24.74,61.0,30.0,2604.25,3544.9,149.83
A093,2018-04-03,22359,Employed,48,2,216,5,0,0,8,3578,46881,84640,0,31,524,High School,26889,Married,Mortgage,22.1,1,Auto,14,24764,131521,4,24.07,57.0,11.0,1863.25,877.67,58.7
A094,2018-04-04,152650,Employed,48,3,148,3,0,0,25,587,89100,37909,1,36,610,Associate,24815,Married,Other,10.3,1,Home,21,4346,127009,6,21.35,38.0,12.0,12720.83,773.09,7.24
A095,2018-04-05,15120,Self-Employed,84,0,423,5,0,0,26,1245,14697,3825,0,35,562,Master,21849,Married,Rent,5.15,1,Debt Consolidation,24,1874,18522,5,24.41,58.0,11.0,1260.0,544.82,76.81
A096,2018-04-06,59830,Self-Employed,24,2,246,3,0,0,9,329,13537,435808,1,22,570,Associate,22734,Single,Rent,432.0,2,Debt Consolidation,29,2511,449345,7,17.46,45.0,0.0,4985.83,1129.05,27.58
A097,2018-04-07,55308,Employed,72,0,362,3,0,0,24,932,7871,93747,1,43,645,Doctorate,19539,Single,Other,7.15,0,Debt Consolidation,29,5995,101618,4,16.96,36.0,22.0,4609.0,434.23,17.28
A098,2018-04-08,30948,Employed,36,0,286,1,0,0,25,291,21318,78660,0,43,601,Bachelor,25291,Married,Mortgage,5.09,0,Auto,19,7167,99978,9,22.33,49.0,17.0,2579.0,970.2,48.71
A099,2018-04-09,56940,Employed,96,0,213,3,0,0,7,634,33321,64448,0,40,592,Associate,15752,Married,Mortgage,4.25,0,Debt Consolidation,20,1349,97769,5,26.16,50.0,21.0,4745.0,392.96,12.77
A100,2018-04-10,44000,Employed,60,3,457,3,0,0,29,2939,29418,301790,0,37,539,High School,28714,Married,Rent,41.4,1,Home,10,5872,331208,8,24.41,46.0,13.0,3666.67,832.89,35.18
A101,2018-04-11,81554,Employed,72,1,519,5,0,0,24,1955,14641,69780,0,23,509,High School,35101,Married,Rent,3.57,0,Home,23,3233,84421,5,31.65,49.0,4.0,6796.17,1093.6,23.73
A102,2018-04-12,26567,Employed,60,1,194,1,0,0,14,512,81589,9625,0,34,612,Bachelor,17339,Single,Mortgage,8.73,1,Education,17,2738,55729,4,23.21,48.0,13.0,2213.92,490.89,30.94
A103,2018-04-13,33569,Employed,48,0,212,3,0,0,8,12534,23346,33106,0,35,596,Bachelor,37172,Divorced,Mortgage,2.62,0,Home,20,2103,56452,6,22.45,51.0,9.0,2797.42,1180.24,49.77
A104,2018-04-14,94238,Employed,36,3,203,3,0,0,2,7940,13137,41531,1,30,608,Bachelor,15917,Married,Own,16.4,2,Home,23,3382,54668,3,18.76,44.0,6.0,7853.17,581.52,9.99
A105,2018-04-15,45145,Employed,48,1,879,5,0,0,24,2678,26515,93155,1,38,587,Bachelor,11431,Divorced,Mortgage,1.26,0,Education,27,7060,119670,9,19.61,40.0,17.0,3762.08,345.48,32.55
A106,2018-04-16,70881,Employed,48,0,324,1,0,0,19,1136,21804,1188,0,44,597,Master,34590,Divorced,Rent,30.4,1,Home,22,2050,3628,8,21.41,50.0,23.0,5906.75,1078.75,23.75
A107,2018-04-17,105240,Employed,108,3,391,6,1,0,26,2516,28628,33814,0,62,656,Associate,13937,Widowed,Mortgage,24.8,2,Home,32,1960,62442,4,22.97,55.0,39.0,8770.0,306.3,7.95
A108,2018-04-18,63709,Unemployed,48,0,623,2,0,0,18,136,12851,68037,0,42,517,Bachelor,22221,Single,Mortgage,2.83,3,Auto,41,3930,80888,3,26.54,57.0,18.0,5309.08,756.0,25.97
A109,2018-04-19,31713,Self-Employed,48,1,314,2,0,0,6,231,43113,6605,0,43,487,Bachelor,38865,Married,Rent,24.9,3,Auto,20,395,49718,3,28.64,64.0,18.0,2642.75,1368.8,63.68
A110,2018-04-20,29900,Employed,72,3,589,3,0,0,4,2353,36682,2585,0,39,536,High School,23396,Single,Mortgage,10.3,0,Debt Consolidation,28,470,23801,6,29.94,54.0,17.0,2491.67,702.94,51.85
A111,2018-04-21,87673,Employed,72,3,725,4,0,1,19,551,5492,66069,1,18,608,Master,10667,Single,Mortgage,2.21,0,Auto,23,1134,71561,5,24.0,43.0,0.0,7306.08,280.83,13.77
A112,2018-04-22,55454,Self-Employed,36,3,1206,5,0,0,13,1098,27329,5939,0,39,565,Bachelor,35551,Married,Mortgage,2.4,0,Auto,22,4159,33268,4,25.41,61.0,16.0,4621.17,1421.22,56.85
A113,2018-04-23,40722,Employed,120,2,269,5,0,0,9,398,20184,121086,0,40,558,High School,31637,Married,Own,17.2,2,Auto,22,9140,141270,4,30.27,47.0,18.0,3393.5,840.32,32.69
A114,2018-04-24,76571,Employed,48,1,407,7,0,0,3,3117,5915,72093,0,69,680,Master,34173,Married,Rent,15.8,2,Home,20,2220,78008,7,19.11,46.0,49.0,6380.92,1023.76,22.42
A115,2018-04-25,22901,Employed,48,2,288,1,0,0,6,3491,10098,89532,0,37,525,Master,18493,Married,Rent,8.59,1,Auto,25,3120,99630,3,25.34,53.0,14.0,1908.42,616.69,47.41
A116,2018-04-26,49421,Employed,72,3,438,3,0,0,8,1546,40586,9540,0,43,609,Bachelor,17161,Married,Other,36.2,4,Debt Consolidation,21,10050,17627,8,25.8,51.0,21.0,4118.42,470.73,22.07
A117,2018-04-27,43507,Employed,48,3,544,4,1,0,15,5407,34764,6480,0,39,611,Associate,31845,Divorced,Rent,3.74,2,Home,32,1192,30751,7,26.56,60.0,16.0,3625.58,1083.78,44.9
A118,2018-04-28,41402,Employed,36,4,419,2,0,0,21,6772,37402,4623,0,25,572,Doctorate,25900,Married,Mortgage,11.1,2,Home,29,9920,36312,6,23.77,50.0,4.0,3450.17,1013.01,41.51
A119,2018-04-29,37405,Employed,48,0,442,3,0,1,19,762,29045,4530,0,53,626,High School,15770,Married,Mortgage,22.7,0,Debt Consolidation,22,14266,15028,3,20.61,56.0,30.0,3117.08,485.03,29.74
A120,2018-04-30,48399,Employed,48,0,346,6,0,0,19,1120,16583,75230,0,49,564,Bachelor,19629,Single,Rent,2.84,1,Home,18,993,91813,1,26.4,51.0,29.0,4033.25,666.26,25.1
A121,2018-05-01,44775,Employed,48,4,228,3,0,0,7,1348,64801,8511,0,49,574,High School,20270,Divorced,Mortgage,15.3,0,Education,28,3070,31257,5,21.96,51.0,28.0,3731.25,638.19,23.21
A122,2018-05-02,125711,Employed,48,0,543,3,0,0,20,1592,10411,8014,1,29,580,Associate,12133,Widowed,Own,4.56,1,Home,20,16833,18425,5,21.81,40.0,7.0,10475.92,381.01,8.82
A123,2018-05-03,15131,Employed,48,2,351,1,0,1,5,2915,15145,58703,0,56,634,Master,25599,Married,Rent,24.2,1,Home,25,2458,73848,7,22.83,59.0,30.0,1260.92,818.1,92.72
A124,2018-05-04,73576,Employed,36,2,491,8,0,0,1,600,59651,4647,1,23,603,Bachelor,12055,Married,Other,10.5,0,Education,26,1924,50167,5,17.54,41.0,0.0,6131.33,433.04,15.07
A125,2018-05-05,50345,Employed,48,1,441,2,0,0,1,785,3537,47177,0,47,602,Bachelor,18805,Married,Mortgage,4.68,1,Home,24,13605,50714,3,23.24,51.0,22.0,4195.42,605.2,24.94
